page_url,links_to_check,all_good?,notes
https://dead-links.the-examples-book.pages.dev/2020-2021,1,yes,
https://dead-links.the-examples-book.pages.dev/faqs,1,,
https://dead-links.the-examples-book.pages.dev/crp/TAs/expectations/introduction_expectations,1,,
https://dead-links.the-examples-book.pages.dev/crp/TAs/expectations/planning_and_meetings,5,,
https://dead-links.the-examples-book.pages.dev/crp/TAs/fall2022/explicit_all_sprints,16,,
https://dead-links.the-examples-book.pages.dev/crp/TAs/fall2022/pre_fall_prep,25,,
https://dead-links.the-examples-book.pages.dev/crp/TAs/fall2022/sprint1,1,,
https://dead-links.the-examples-book.pages.dev/crp/TAs/fall2023/explicit_all_sprints,16,,
https://dead-links.the-examples-book.pages.dev/crp/TAs/fall2023/pre_fall_prep,25,,
https://dead-links.the-examples-book.pages.dev/crp/TAs/fall2023/responsibilities,1,,
https://dead-links.the-examples-book.pages.dev/crp/TAs/fall2023/sprint1,1,,
https://dead-links.the-examples-book.pages.dev/crp/TAs/fall2024/explicit_all_sprints,16,,
https://dead-links.the-examples-book.pages.dev/crp/TAs/fall2024/pre_fall_prep,25,,
https://dead-links.the-examples-book.pages.dev/crp/TAs/fall2025/explicit_all_sprints,16,,
https://dead-links.the-examples-book.pages.dev/crp/TAs/fall2025/pre_fall_prep,25,,
https://dead-links.the-examples-book.pages.dev/crp/TAs/spring2023/sprint1,1,,
https://dead-links.the-examples-book.pages.dev/crp/TAs/spring2024/sprint1,1,,
https://dead-links.the-examples-book.pages.dev/crp/TAs/trainingModules/ta_training_module5_5_additional_tools,2,,
https://dead-links.the-examples-book.pages.dev/crp/mentors/announcements,4,,
https://dead-links.the-examples-book.pages.dev/crp/ndmn/index,1,,
https://dead-links.the-examples-book.pages.dev/crp/students/fall2023/syllabus,1,,
https://dead-links.the-examples-book.pages.dev/crp/students/fall2024/syllabus,1,,
https://dead-links.the-examples-book.pages.dev/crp/students/fall2025/syllabus,1,,
https://dead-links.the-examples-book.pages.dev/crp/students/spring2026/syllabus,1,,
https://dead-links.the-examples-book.pages.dev/projects/spring2022/19000/project10,1,,
https://dead-links.the-examples-book.pages.dev/projects/spring2022/29000/project11,1,,
https://dead-links.the-examples-book.pages.dev/projects/spring2022/29000/project14,1,,
https://dead-links.the-examples-book.pages.dev/projects/spring2023/20200/project1,2,,
https://dead-links.the-examples-book.pages.dev/projects/spring2024/20200/project1,1,,
https://dead-links.the-examples-book.pages.dev/projects/spring2024/30200_40200/preprocessing-teachingprogramming,1,,
https://dead-links.the-examples-book.pages.dev/projects/spring2024/30200_40200/trainingtrainingprogramming,2,,
https://dead-links.the-examples-book.pages.dev/tools/data-modeling-preprocessing,1,,
https://dead-links.the-examples-book.pages.dev/tools/data-modeling-training,2,,
https://dead-links.the-examples-book.pages.dev/tools/nlp-protein-sequence-embedding,1,,
https://dead-links.the-examples-book.pages.dev/tools/python/python-starter-skills-roadmap,1,,
https://dead-links.the-examples-book.pages.dev/tools/python/web-scraping,1,,